Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "cuDNN"
   Try: "module spider cuDNN" to see how to load the module(s).



---In main---
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6420)
torch.Size([9216]) tensor(0.6450)
torch.Size([9216]) tensor(0.6434)
torch.Size([9216]) tensor(0.6406)
torch.Size([9216]) tensor(0.6372)
torch.Size([9216]) tensor(0.6430)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6382)
torch.Size([9216]) tensor(0.6428)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6411)
torch.Size([9216]) tensor(0.6391)
torch.Size([9216]) tensor(0.6416)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6464)
torch.Size([9216]) tensor(0.6436)
torch.Size([9216]) tensor(0.6420)
torch.Size([9216]) tensor(0.6429)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6436)
torch.Size([9216]) tensor(0.6401)
torch.Size([9216]) tensor(0.6429)
torch.Size([9216]) tensor(0.6403)
torch.Size([9216]) tensor(0.6419)
torch.Size([9216]) tensor(0.6396)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6434)
torch.Size([9216]) tensor(0.6388)
torch.Size([9216]) tensor(0.6390)
torch.Size([9216]) tensor(0.6403)
torch.Size([9216]) tensor(0.6396)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6408)
torch.Size([9216]) tensor(0.6415)
torch.Size([9216]) tensor(0.6431)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6449)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6419)
torch.Size([9216]) tensor(0.6372)
torch.Size([9216]) tensor(0.6443)
torch.Size([9216]) tensor(0.6395)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6441)
torch.Size([9216]) tensor(0.6411)
torch.Size([9216]) tensor(0.6431)
torch.Size([9216]) tensor(0.6401)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6387)
torch.Size([9216]) tensor(0.6421)
torch.Size([9216]) tensor(0.6393)
torch.Size([9216]) tensor(0.6417)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6420)
torch.Size([9216]) tensor(0.6450)
torch.Size([9216]) tensor(0.6434)
torch.Size([9216]) tensor(0.6406)
torch.Size([9216]) tensor(0.6372)
torch.Size([9216]) tensor(0.6430)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6382)
torch.Size([9216]) tensor(0.6428)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6411)
torch.Size([9216]) tensor(0.6391)
torch.Size([9216]) tensor(0.6416)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6464)
torch.Size([9216]) tensor(0.6436)
torch.Size([9216]) tensor(0.6420)
torch.Size([9216]) tensor(0.6429)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6436)
torch.Size([9216]) tensor(0.6401)
torch.Size([9216]) tensor(0.6429)
torch.Size([9216]) tensor(0.6403)
torch.Size([9216]) tensor(0.6419)
torch.Size([9216]) tensor(0.6396)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6434)
torch.Size([9216]) tensor(0.6388)
torch.Size([9216]) tensor(0.6390)
torch.Size([9216]) tensor(0.6403)
torch.Size([9216]) tensor(0.6396)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6408)
torch.Size([9216]) tensor(0.6415)
torch.Size([9216]) tensor(0.6431)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6449)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6419)
torch.Size([9216]) tensor(0.6372)
torch.Size([9216]) tensor(0.6443)
torch.Size([9216]) tensor(0.6395)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6392)
torch.Size([9216]) tensor(0.6441)
torch.Size([9216]) tensor(0.6411)
torch.Size([9216]) tensor(0.6431)
torch.Size([9216]) tensor(0.6401)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6433)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6387)
torch.Size([9216]) tensor(0.6421)
torch.Size([9216]) tensor(0.6393)
torch.Size([9216]) tensor(0.6417)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6413)
torch.Size([9216]) tensor(0.6420)
torch.Size([9216]) tensor(0.6450)
torch.Size([9216]) tensor(0.6434)
torch.Size([9216]) tensor(0.6406)
torch.Size([9216]) tensor(0.6372)
torch.Size([9216]) tensor(0.6430)
torch.Size([9216]) tensor(0.6414)
torch.Size([9216]) tensor(0.6382)
torch.Size([9216]) tensor(0.6428)
torch.Size([9216]) tensor(0.6410)
torch.Size([9216]) tensor(0.6404)
torch.Size([9216]) tensor(0.6411)
torch.Size([9216]) tensor(0.6391)
torch.Size([9216]) tensor(0.6416)
torch.Size([9216]) tensor(0.6410)
